day,poms_tot,poms_tot_w,poms_tot_g,poms_tot_h,poms_tot_m,inters_tot,inters_tot_p,inters_tot_m,inters_tot_s,inters_tot_o
20161128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
